id,name,city,district,address,mrt,broth_types,specialties,price_min,price_max,price_avg,wait_time,rating,tags,notes,source,badge
kanzuri-shinn,柑橘Shinn-Soba,台北市,大安區,仁愛路四段228-6號,忠孝敦化,雞清湯|蛤蜊,柑橘雞湯|蛤蜊拉麵,290,360,310,40分,4.7,清湯|柑橘,確認地址仁愛路四段228-6號。另有鴨蔥店（嘉興街315號）、魚水店（基隆路一段428號）。,2023票選,
ramen-seven-bird,らーめん七面鳥,台中市,西區,中美街331巷15號,—,雞白湯|濃厚,雞白湯,250,320,270,40分,4.8,台中名店|雞白湯,台中拉麵天王,台中拉麵推薦,
sake-no-daisuke,鮭の大助,台中市,西區,向上路一段170號,—,魚介|鮭魚,特濃鮭白湯,280,350,300,30分,4.7,鮭魚|七面鳥二店,七面鳥二號店，免費白飯,台中拉麵推薦,
genki-shrimp,蝦蝦拉麵 元氣屋,台中市,西區,中美街419之4號,—,蝦|魚介,濃厚蝦蝦沾麵,260,330,280,35分,4.6,蝦湯|沾麵,台灣最蝦的拉麵,台中拉麵地圖,
yoshi-ramen-taichung,有囍拉麵 中山店,台中市,中區,中山路82號,—,豚骨|雞白湯,豚骨拉麵,230,300,250,20分,4.4,台中|平價,,Google Maps,
niu-an,牛庵,台中市,西屯區,文心路三段107-16號,文心中清,牛骨|咖哩,咖哩牛骨拉麵,270,340,290,25分,4.5,牛骨|咖哩,狸匠體系，牛骨湯頭。2023年度愛好會第8名。確認地址：文心路三段107-16號,台中拉麵推薦,
ramen-chu,RAMEN初,高雄市,三民區,正興路111號,後驛,豚骨,蔥豚骨拉麵,230,300,250,25分,4.6,高雄四大天王|蔥拉麵,四大天王之「初」，蔥量超多,高雄拉麵推薦,
shodai-hanayama,初代花山,高雄市,新興區,民族二路5號,信義國小,牛骨,牛骨白湯|咖哩牛骨沾麵,290,360,310,30分,4.7,牛骨|高雄名店,高雄少見牛骨白湯,高雄拉麵推薦,
ichibon-ramen,一本拉麵,高雄市,新興區,玉竹二街5號,中央公園,雞白湯,濃厚雞白湯,250,320,270,20分,4.5,雞白湯|濃厚,湯頭香滑濃稠，膠質豐富,高雄拉麵推薦,
wolong-ramen,臥龍拉麵,高雄市,前鎮區,林森三路197號,獅甲,豚骨|味噌|客製,客製化拉麵,220,290,240,15分,4.3,客製化|調味粉,可自由搭配調味,高雄拉麵推薦,
hengbin-puli,埔里橫濱拉麵,南投縣,埔里鎮,慈恩街92號,,豚骨|醬油,,200,270,220,30分,4.4,南投|埔里,需現場抽單候位,Google Maps,
ramen-nagi,Nagi豚骨拉麵凪,台北市,大安區,漢中街52號6樓,西門,豚骨,,260,330,280,20分,4.5,豚王|黑王,,2023 Top85,
menya-sanshi,麵屋三士,桃園市,中壢區,春德路189號2樓,高鐵桃園,雞白湯,,270,340,290,20分,4.5,,,2023 Top85,
qian-xi,千璽 鶏パイタン專門,台中市,西屯區,文心路三段66號,文華高中,雞白湯,,250,320,270,20分,4.6,,,台中7大,
kitaho,Kitaho 北穗製麵所,台中市,西區,公益路124巷2號,—,豚骨|雞白,,240,310,260,20分,4.5,,,台中7大,
menya-seiryu,麵屋清流,台中市,西區,臺灣大道二段48號,—,魚介|豚骨,,260,330,280,20分,4.4,,,台中7大,
akakuma-ramen,赤熊拉麵,台中市,西屯區,河南路二段432之1號,—,豚骨|味噌,,230,300,250,20分,4.3,,台中人氣拉麵店,台灣拉麵協會,
ichiran-taipei,一蘭拉麵 台灣台北本店,台北市,信義區,松仁路97號1樓,市政府,豚骨,天然豚骨拉麵|秘傳辣醬,280,350,300,30分,4.3,24小時|連鎖,天然豚骨拉麵現行售價310元/碗（2024/4/1起調漲）。2025/3改裝、6/12重新開幕，座位從60席減至54席。加麵60元、半熟蛋40元、叉燒65元。,Klook 2026台北拉麵推薦; ANIKO台北拉麵30家,
ichigen-taipei,一幻拉麵 台北信義店,台北市,信義區,松壽路22號Neo19,市政府,蝦|味噌|鹽味|醬油,鮮蝦味噌|鮮蝦鹽味,230,300,250,20分,4.4,蝦系|北海道,北海道蝦頭熬製湯底，台灣限定淡麗口味,Klook 2026台北拉麵推薦,
sanran-taipei,山嵐拉麵 公館店,台北市,中正區,羅斯福路四段136巷,公館,豚骨|味噌,白湯|赤湯,250,320,270,30分,4.5,北海道札幌|客製化,豬背脂熬湯，油量/麵條/辣度可客製。公館/大安/中山三店,trip.com 2026台北拉麵12間,
bokuyo-ramen,墨洋拉麵,台北市,中正區,羅斯福路四段136巷10號,公館,雞白湯|豚骨,泡系雞豚拉麵,220,290,240,25分,4.5,泡系|免費加麵,泡系雞豚拉麵超有特色，免費加麵吃到飽,ANIKO台北拉麵30家,
enishi-taipei,麵屋緣 enishi,台北市,大安區,敦化南路二段81巷45弄12號,六張犁,醬油|創作,白Carbonara沾麵,290,360,310,25分,4.6,京都名店|沾麵,京都拉麵名店「餘香sugari」海外首店，白Carbonara沾麵極特別,ANIKO台北拉麵30家,
kanazawa-ramen,金沢拉麵,台北市,中山區,農安街24-6號,中山國小,醬油|鹽味,醬油拉麵,170,240,190,20分,4.5,CP值王|免費加麵加飯,190元無限加麵加飯，CP值最高。Google千則評價4.5星,ANIKO台北拉麵30家,
tonjin-ramen,豚人拉麵,台北市,大安區,忠孝東路四段216巷,忠孝敦化,豚骨,濃郁豚骨拉麵,230,300,250,15分,4.3,免費加麵,東區230元大份量豚骨，免費加麵一次,ANIKO台北拉麵30家; 波妮說食話,
nioya-ramen,二屋牡蠣拉麵,台北市,大同區,赤峰街35巷11號,雙連,牡蠣|雞白湯,濃厚牡蠣湯頭,260,330,280,25分,4.5,牡蠣系|無限加麵,超特別濃厚牡蠣湯頭，無限加麵免費,ANIKO台北拉麵30家; vocus台北拉麵地圖,
chickenking-ramen,麵屋雞金,台北市,中正區,新生南路一段6號1樓,忠孝新生,雞白湯|醬油,雞白湯拉麵|醬油魚介拉麵,230,300,250,10分,4.3,深夜|五之神系,五之神製作所第二品牌。營業到凌晨3點。2021新人賞,拉麵浪人; ETtoday 2021新星; marieClaire,
chosei-shiobito,長生塩人,台北市,士林區,天母西路65號,芝山,鹽味|醬油,鹽味拉麵|醬油拉麵,150,220,170,15分,4.3,深夜|平價,天母/北投/辛亥/民生/劍潭五店。150-190元超平價，營業到深夜12點,拉麵浪人深夜拉麵12間,
wasou-ramen,麵屋和創,台北市,松山區,延吉街2號,小巨蛋,醬油|鹽味|味噌,生薑清湯拉麵,170,240,190,30分,4.5,深夜|鷹流系,鷹流創始人鷹老新店，只做宵夜場22:00-01:00。生薑湯頭獨特,拉麵浪人深夜拉麵12間,
takumo-ramen,森麵堂,台北市,大安區,東豐街52號1樓,大安,雞白湯,米其林級雞白湯,290,360,310,30分,4.7,米其林|大安,米其林一星職人打造，日本嚴選麵體。僅此一家，必排隊,marieClaire台北雞白湯10間; Klook,🌟 米其林
chicken2-ramen,雞二拉麵,台北市,大安區,文昌街30號,信義安和,雞白湯,大雞(超大碗)|小雞,220,290,240,15分,4.4,大份量|客製化,份量分大雞/小雞/小小雞，粗細麵可選，鹹度油度可調,marieClaire台北雞白湯10間; 波妮說食話,
shiyan-ramen,旨燕泡系拉麵,台北市,中正區,開封街一段90號,西門,泡系|鹽味,旨燕禽白湯|鰹節溏心蛋,250,320,270,15分,4.5,泡系|清新,泡系拉麵，午晚不同菜單。2023年度愛好會第10名。確認地址：開封街一段90號,好好玩FUNIT台北拉麵地圖,
peng-xing,烹星,台北市,中山區,林森北路巷內,中山,乾物清湯|濃湯,乾物清湯拉麵,290,360,310,30分,4.6,2021新人王|勝王系,勝王/鬼金棒同店主。乾物清湯濃縮鮮美。首屆新人王冠軍,ETtoday 2021新星20家(台灣拉麵愛好會授權),
tenjiku-ramen,天鷄麵屋坊,台北市,大同區,南京西路18巷4弄8之1號1樓,中山,雞白湯,雞豬鴨+干貝+鮭魚卵,270,340,290,15分,4.4,CP值,290元含雞豬鴨、干貝、鮭魚卵，中山站高CP值,vocus台北拉麵地圖2025,
goshinno-ramen,五之神製作所,台北市,信義區,忠孝東路四段553巷6弄6號,市政府,蝦|豚骨,濃厚豚骨蝦沾麵|龍蝦沾麵,230,300,250,25分,4.6,蝦系|東京名店,東京新宿蝦味名店，濃厚蝦湯+醬汁蝦沾麵。限定款龍蝦沾麵,波波黛莉2020金賞; ETtoday 2021,⭐ 金賞
chen-ramen,辰拉麵,新北市,永和區,文化路110號,頂溪,鹽味|醬油|豚骨醬油,醬油豚骨拉麵|大滿足,250,320,270,30分,4.6,鷹流弟子|現場登記,前鷹流大師兄獨立。2023年度愛好會第4名。確認地址：文化路110號,妞新聞2022 Top10,
haoka-ramen,好呷拉麵 板橋三民店,新北市,板橋區,三民路二段203-3號,新埔,豚骨,日本生拉麵|豚骨拉麵,140,210,160,25分,4.4,無限續麵|甜點吃到飽,145元起無限續麵+甜點吃到飽。全台CP值最高拉麵品牌。永和/板橋/中和多店,dalang.tw 2026平價拉麵10家,
xuanri-ramen,懸日拉,新北市,板橋區,文化路一段31號,板橋,水果系,水果系拉麵,260,330,280,30分,4.5,獨特|水果,獨特香濃水果系拉麵，排隊再久都值得。黃金品嚐15分鐘,dalang.tw 2026平價拉麵; fooder_tw 2026,
lijiang-ramen,狸匠拉麵 深夜拉麵,台中市,南區,興大路90號,—,多元,大盛系列,230,300,250,20分,4.5,深夜|大盛,台中超火紅深夜拉麵，必點大盛系列超划算。續麵一球免費,dalang.tw 2026; fooder_tw 2026,
yamashita-park,山下公園,台中市,西區,健行路1049號3F,—,雞白湯,濃郁雞白湯|季節限定,260,330,280,30分,4.7,金賞|有囍姊妹店,有囍Yoshi Ramen姊妹店，不拘泥框架的創意雞白湯。金賞認證,妞新聞2022 Top10; 波波黛莉2020,⭐ 金賞
senxi-ramen,千璽拉麵,台中市,西區,健行路1049號(金典綠園道3F),—,鹽味|醬油|味噌,鹽味雞豚清湯|辛口豚雞濃湯,180,250,200,20分,4.4,金典綠園道,金典綠園道內，鹽味/醬油/濃湯/辛口多選擇。190元起,波波黛莉2020金賞,
kichikichi,雞吉君拉麵 西門店,台北市,萬華區,昆明街172號,西門,雞白湯|辣味噌,辣雞白湯|濃度雞白湯,260,330,280,25分,4.5,金賞|西門,限定辣雞白：日本紅白味噌+鬼椒+花椒+青花椒。2020/2023金賞入選,自由時報玩咖 2023 Top10; 好好玩FUNIT,⭐ 金賞
donzan-ramen,吞山郎 二郎風拉麵,台中市,西屯區,文心路三段107-16號旁,—,豚骨|二郎系,二郎風拉麵,240,310,260,20分,4.4,二郎系|大份量,貍匠系列新店，主打豪爽二郎風拉麵。推薦大食量麵友連打牛庵+吞山郎,ETtoday 2021新星(台灣拉麵愛好會),
xinxin-ramen,山形心心拉麵 士林店,台北市,士林區,小東街25號,劍潭,醬油|鹽味|味噌,山形辛味噌拉麵|二郎系男氣拉麵,200,270,220,20分,4.4,日本師傅|平價,日本師傅親自掌廚，自家製麵條，價格平實。台中/高雄也有分店,Klook 2026台北拉麵推薦,
tokunooya,特濃屋,台北市,中山區,中山北路二段77巷22號,雙連,豚骨醬油,橫濱家系拉麵,240,310,260,15分,4.4,家系|日本人老闆,日本人老闆，正統橫濱家系特濃豚骨醬油,波妮說食話2025台北拉麵12間,
menya-domoto,麵屋堂本,桃園市,中壢區,中央東路67號,—,多元,客製化拉麵,200,270,220,15分,4.4,免費續麵|客製化,190元起免費續麵一次，客製化麵條與口味,dalang.tw 2026平價拉麵,
junkyu-ichiu,淳鳩一夫日式拉麵,台南市,中西區,民權路二段218號,,雞白湯|魚介,蒜味雞白湯|黑金蛤蜊雞白湯,260,330,280,30分,4.6,Dcard熱推|台南第一,台南在地人唯一推薦，每日限定隱藏版。客製化麵條與湯頭濃度，純天然食材,dalang.tw 2026; trip.com台南拉麵8間; Klook台南12間; 黛西台南9間,🔥 人氣
orenobuta,俺の豚,台南市,永康區,東橋一路250號,,豚骨,超濃厚豚骨拉麵,180,250,200,30分,4.5,永康必吃|濃厚系,永康十大必吃。堅持日本標準細麵。牆面貼嚴禁拍照超過10秒標示。附桂花紅茶冰沙,trip.com台南拉麵8間; 台南女孩凱莉; vocus台南永康拉麵,
renhu-ramen,漣戶拉麵,台南市,東區,莊敬路(南紡附近),,豚骨|煮干,激厚醬油豚骨|煮干拉麵,220,290,240,15分,4.4,濃厚系|煮干,南紡附近濃郁系豚骨。招待醃蘿蔔。煮干拉麵是特色,黛西台南9間; 台南女孩凱莉,
goshi-ramen,吾私拉麵,台南市,北區,文賢路(攤車),,雞白湯,黑金蛤蜊雞白湯|濃郁雞白湯,170,240,190,20分,4.5,每日限量30碗|攤車,只在晚上販售、每日限量30碗。露天攤車形式，不到200元超實惠,trip.com台南拉麵8間; 台南女孩凱莉,
bailu-ramen,白露拉麵 Bailu Ramen,台南市,中西區,城隍街50號,,雞白湯,薩索雞雞白湯,260,330,280,20分,4.6,文青|米其林級薩索雞,清爽文青風雞白湯拉麵，使用米其林等級薩索雞，超嫩美味,台南女孩凱莉,🌟 米其林
umami-ramen,麵家宇味,台南市,中西區,西門路二段429號,,豚骨|魚介,豚骨魚介拉麵|濃厚豚雞拉麵,230,300,250,20分,4.5,西門路人氣,西門路超人氣日式拉麵，豚骨魚介/濃厚豚雞，值得回訪,台南女孩凱莉,
nani-men,Nani麵,台南市,中西區,新美街163號,,醬油|多元,日式沾麵,230,300,250,15分,4.4,沾麵|新美街,台南少見的日式沾麵專門。新美街新寵兒，日式風格吧檯,妳好南搞台南拉麵5間,
shuanghe-ramen,双赫日式拉麵,台南市,中西區,海安路二段269巷25號,,鹽味|蝦,柚子鹽拉麵|櫻花蝦拉麵,230,300,250,15分,4.4,日式裝潢,善化區起家。日式販賣機+橘色車站座椅。柚子鹽和櫻花蝦是台南少見口味,trip.com台南拉麵8間; Dcard台南拉麵,
menya-hiroshi,麵屋浩 Hiroshi,新竹市,北區,北門街87號,,豚骨,濃湯SP|清湯醬油拉麵,240,310,260,60分,4.7,新竹最強|限量,新竹超人氣排隊名店，一天只營業3.5小時。濃厚豚骨+手工Q彈麵體。濃湯SP必點,趣趣14家; polstartech新竹16家; GOMAJI Top10,🔥 人氣
hiro\,Hiro\,新竹市,東區,長安街76號,,豚骨|雞白湯,每日限定湯頭|炙燒叉燒壽司捲,300,370,320,45分,4.7,職人級|每週只開兩天,,mian-hun merged,
shinko-ramen,神虎拉麵,新竹市,北區,北門街170號,,豚骨,原味豚骨|味噌豚骨,240,310,260,20分,4.5,大阪直傳|深夜到12點,大阪直傳細麵專賣。炙燒五花叉燒+脆皮口感。營業到午夜。干貝鹽沾麵為新竹限定,趣趣14家; polstartech; GOMAJI Top10,
dajiao-hsinchu,大角拉麵 新竹東門市場,新竹市,東區,大同路86號(東門市場),,雞清湯|豚骨,雞清湯鹽味柚香拉麵|醬油拉麵,230,300,250,15分,4.6,淡麗系|日籍主廚,日籍主廚主理。舒肥薄切叉燒類似西班牙生火腿。雞清湯鹽味柚香是人氣王,趣趣14家; polstartech; 輕旅行; 踢小米,
menya-yoshimitsu,麵屋吉光,新竹市,東區,關新路65號,,豚骨,特盛豚骨拉麵,260,330,280,40分,4.6,關新路|排隊名店,湯體濃厚不死鹹。豚骨+全雞熬煮。洋蔥丁+青蔥段消除油膩。新竹排隊名店,趣趣14家; 嗨我是紹,
rante-ramen,嵐沺拉麵,新竹市,東區,南門街77號,,豚骨|味噌,叉燒豚骨拉麵|造型溏心蛋,230,300,250,15分,4.5,造型蛋|客製化,溏心蛋造型超可愛(哆啦A夢/兔兔/熊熊)。湯濃度/麵硬度可客製。豚骨濃郁順口,GOMAJI Top10; polstartech; 輕旅行,
ryota-ramen,涼太拉麵,新竹縣,竹北市,成功十二街26號,,豚骨|魚介,涼太特製拉麵,240,310,260,15分,4.5,東京はやし家系|精燉18小時,東京名店はやし家學徒開設。五種日本魚乾煨煮18小時。一樓拉麵二樓清酒吧,GOMAJI Top10; polstartech,
yokohama-ie,横浜家系ラーメン拉麵家,新竹市,東區,民生路119號,,豚骨醬油|魚介,家系拉麵|沾麵,230,300,250,15分,4.4,家系|日本人主理,日本師傅主理的正宗橫濱家系。新竹少見的沾麵也有供應,polstartech; 踢小米,
toriuen-ramen,麵家鳥猿,新竹縣,竹北市,嘉興路201號,,雞白湯|雞清湯,雞貝清湯拉麵,240,310,260,15分,4.5,雞湯專門|牡蠣,主打雞湯拉麵。雞貝清湯加入牡蠣海味，鹹淡適中所有人都會喜歡,polstartech新竹16家,
tonkeigyo,拉麵 豚鷄魚,新竹市,東區,關新二街133號,,雞白湯|醬油,白湯粗麵|松露醬油,240,310,260,15分,4.5,關新路|粗麵必吃,粗麵極高評價！白湯和松露醬油兩種湯底。麵體嚼勁完美抓附湯汁。豬雞叉燒鮮嫩,polstartech新竹16家,
menya-noh,麵屋。濃,新北市,林口區,復興北路(林口長庚附近),—,豚骨|多元,嚴選夢幻麵條|每日限量口味,220,290,240,20分,4.5,林口|限量,Dcard推薦林口拉麵。嚴選夢幻麵條+精心熬製湯頭。每天限量口味,dalang.tw 2026平價拉麵,
sharaku-ramen,寫樂拉麵,新竹市,東區,勝利路42號,,豚骨|醬油,叉燒拉麵|定食,220,290,240,10分,4.3,老字號|多元菜單,護城河旁老字號。種類豐富(拉麵/定食/咖喱/炸物)。初次來訪麵硬湯濃是定番,polstartech新竹16家,
chixi-ramen,千璽拉麵(資料更新),台中市,西區,健行路1049號(金典綠園道3F),—,鹽味|醬油|味噌,鹽味雞豚清湯$190|醬油雞豚清湯$190,180,250,200,15分,4.4,金典綠園道|平價,金典綠園道3F。190元起的平價好選擇,波波黛莉2020金賞,
cailiang-ramen,菜良日式拉麵,台南市,東區,崇明路42號,,豚骨醬油|二郎系,二郎系拉麵|沾麵,220,290,240,15分,4.3,二郎系|大份量,台南少有的二郎系拉麵專賣店。大份量蔬菜+滿滿叉燒,妳好南搞台南拉麵5間,
menya-sho,麵屋祥,高雄市,鼓山區,大順一路459號,凹子底,豚骨,濃湯叉燒拉麵|清湯拉麵,220,290,240,30分,4.6,排隊名店|客製化,大順路排隊名店。清/濃湯+鹹度+麵硬度客製。免費續一碗麵。大片叉燒覆蓋整碗,GOMAJI高雄10間; Jeremy高雄拉麵; PopDaily高雄10家,
jungle-ramen,叢林拉麵,高雄市,新興區,忠孝一路10號,中央公園,豚骨|味噌|醬油,博多豚骨|札幌味噌,120,190,140,10分,4.3,深夜|平價,120-140元超佛心價！六種口味。營業到凌晨1:30。忠孝夜市旁宵夜首選,GOMAJI高雄10間,
nakamura-kh,中村製麵,高雄市,苓雅區,成功一路231號,三多商圈,雞白湯|鹽味,中村拉麵(雞白湯)|塩拉麵,220,290,240,15分,4.5,漢神對面|期間限定,漢神百貨對面。濃厚雞湯底+超厚叉燒。塩拉麵鮮甜+滿滿青蔥。期間限定隱藏菜色,GOMAJI高雄10間,
tazuke-ramen,田介拉麵,高雄市,鹽埕區,鹽埕街56號,鹽埕埔,豚骨|醬油,蔥山豚骨醬油拉麵|熊本黑蒜豚骨鹽醬,200,270,220,15分,4.5,鹽埕|限量,鹽埕大眾食堂。每天限量豚骨高湯。濃淡/麵硬可選。蔥山拉麵蔥花超滿,虎麗笑嗨嗨高雄拉麵,
tazuke-jiro,田介二郎,高雄市,新興區,五福二路118巷1號,中央公園,豚骨醬油|二郎系,橫網大二郎(4倍份量)|九州濃豚骨,230,300,250,15分,4.4,二郎系|新堀江,田介2號店。二郎風濃厚豚骨醬油+爆多肉菜。橫網大二郎是4倍份量,虎麗笑嗨嗨; 茉莉小姐說說話,
men-on-soup,Men On Soup 雞白湯拉麵,高雄市,左營區,重信路128號,凹子底,雞白湯,原味雞白湯|滿足版(肉增量2倍),240,310,260,15分,4.5,文青|點餐機,左營新開文青風。雞骨熬煮高湯。微飽/滿足兩種份量。現點現炸牛蒡是亮點,虎麗笑嗨嗨,
takizawa-kh,瀧澤軒食堂,高雄市,苓雅區,林泉街44號,文化中心,豚骨|雞清湯|雞白湯,博多豚骨|柚子塩雞清湯,220,290,240,10分,4.4,8年老店|三種系統,文化中心旁開8年老店。博多豚骨12hr熬煮+淡麗清雞湯。週五六日限定蟹棒味噌,虎麗笑嗨嗨,
hare-ramen-kh,晴拉麵,高雄市,苓雅區,福安路,五塊厝,豚骨|醬油|味噌,豚骨拉麵|地獄拉麵,150,220,170,10分,4.3,平價|客製化,150-170元超平價！大骨蔬菜熬9hr。鹹淡/麵硬可調。豬油拌飯也推薦,妞新聞高雄10間; 虎麗笑嗨嗨,
kenda-ramen,研田拉麵,高雄市,鼓山區,美術東八街118號,—,雞白湯|醬油|鹽味,雞白濃湯|雞白醬油,240,310,260,15分,4.5,雞骨專門|季節限定,美術館附近。全品項雞大骨熬製。清湯(醬油/鹽味)+濃湯(雞白)。春夏限定柚子系列,妞新聞高雄10間,
kaneda-kh,金田家 台灣本店,高雄市,左營區,安吉街380號,巨蛋,豚骨,九州泡系豚骨拉麵,240,310,260,20分,4.5,福岡元祖|泡系,來自福岡元祖九州泡系豚骨。濃郁順口好吃。富國公園旁,茉莉小姐說說話 高雄40家,
volcano-kh,火山湯海,高雄市,左營區,左營區新莊一路276號,巨蛋,辣麻味噌,辣麻味噌拉麵,260,330,280,20分,4.5,鬼金棒傳人,台北知名鬼金棒「辣麻味噌拉麵」在高雄的傳人開的店,茉莉小姐說說話 高雄40家,
taikai-kh,大海拉麵 高雄店,高雄市,前鎮區,三多三路214號,三多商圈,豚骨,蔥拉麵|熊本黑蒜拉麵(高雄限定),180,250,200,15分,4.5,日本人老闆|博多道地,日本九州福岡老闆開的博多豚骨。三種濃淡可選。熊本黑蒜為高雄限定。竹北也有分店,虎麗笑嗨嗨; 趣趣新竹14家(竹北),
ichiran-taoyuan,一蘭拉麵 桃園華泰店,桃園市,中壢區,華泰名品城,—,豚骨,天然豚骨拉麵,280,350,300,30分,4.3,一蘭|Outlet,天然豚骨拉麵現行售價310元/碗（2024/4/1起調漲）,Google Maps,
ippudo-taoyuan,一風堂 桃園店,桃園市,中壢區,高鐵北路一段6號,—,豚骨,白丸|赤丸,270,340,290,20分,4.3,連鎖|博多,一風堂桃園分店,Google Maps,
menya-taka-kh,麵屋高(泡系),高雄市,新興區,美麗島站B1墨凡商場,美麗島,豚骨,泡系豚骨拉麵,230,300,250,15分,4.4,泡系|日籍師傅,高雄首間泡系拉麵。細緻泡沫帶來綿密口感。日籍師傅活力「いらっしゃいませ」,美食好芃友,
ichipon-owl,一本拉麵·梟,高雄市,苓雅區,廣州一街123之1號,—,雞白湯|豚骨,雞白湯拉麵|蔬菜拉麵,240,310,260,15分,4.4,文青|清爽,文青裝潢有「高雄最美拉麵」稱號。雞骨+蔬菜清爽路線。豬雞叉燒達到肥瘦平衡,趣趣高雄12家,
seiryu-ramen-kh,清流房日式拉麵,高雄市,鼓山區,美術南二路125號,—,豚骨|辣味噌,博多雞豚拉麵|鬼獄辛辣拉麵,220,290,240,10分,4.4,美術館|免費加麵,美術館附近。博多雞豚濃郁不膩。鬼獄辛辣含自製辣味噌+角煮叉燒。免費加半球麵,虎麗笑嗨嗨 2025,
ramen-tenman,拉麵天滿,高雄市,苓雅區,英明一路82號,—,雞白湯,泡沫系雞白湯,230,300,250,15分,4.5,泡沫系|楠梓→南高雄,楠梓最強泡沫系雞白湯搬來南高雄。滑順綿密口感推薦必吃,茉莉小姐說說話,
幸花-kh,幸花雞白湯 高雄店,高雄市,新興區,仁愛二街112號,信義國小,雞白湯,鹽味|醬油,160,230,180,10分,4.3,全台連鎖|平價,全台連鎖九州雞白湯。139-230元平價正統日式。黑蒜/松露推薦,妞新聞高雄10間,
ichiran-taichung,一蘭拉麵 台中朝富店,台中市,西屯區,朝富路2號2樓,—,豚骨,天然豚骨拉麵,280,350,300,30分,4.3,一蘭|三號店,確認存在且營業中。2021/11/24開幕，為台灣第二家分店。座位41席，營業時間10:00至翌日01:30。天然豚骨拉麵310元。,trip.com 2026台北拉麵,
teichiba-hualien,定置漁場三代目,花蓮縣,花蓮市,建國路23號1樓,,魚骨白湯,柚子胡椒麵|叉燒沾麵,280,350,300,40分,4.3,花蓮排隊王|免費加麵加湯,每日新鮮魚骨熬湯，花蓮排隊王,bigfang.tw; GOMAJI花蓮9間,🔥 人氣
kuroshio-hualien,黑潮拉麵·炸串專賣,花蓮縣,花蓮市,復興街71號,,豚骨,黑蒜拉麵,180,250,200,20分,4.3,可調濃淡軟硬,一蘭式可調濃淡軟硬，黑蒜湯頭層次豐富,jumpman.tw花蓮拉麵,
